,dGr_prime,SD of dGr_prime
r_0348,-10.850477689372592,0.4067332148551941
r_0349,-3.304334971955012,1.2104975300176761
r_0350,-23.317610516097403,4.814785480499268
r_0351,-47.3625733241595,7.374529838562012
r_0352,-27.904418043095756,5.043393135070801
r_0353,-29.688414319464307,4.6623077392578125
r_0354,-13.390900354826787,1.054816312585426
r_0355,-68.37777484839859,3.581955671310425
r_0356,-29.393392279800782,0.7942660237730567
r_0357,-74.83803371658331,2.2636624625787074
r_0358,48.82915850781602,2.0765222864461177
r_0359,,
r_0360,,
r_0361,,
r_0362,,
r_0363,-1.3781302146347976,0.15030895173549652
r_0364,-35.29835436667995,0.6570565079014515
r_0365,,
r_0366,-3.5052927890865195,0.2816460430622101
r_0368,-15.8912034527916,0.7657949837928807
r_0369,-19.852236425222756,1.9634738976726205
r_0370,,
r_0373,-68.37779010283225,3.582000494003296
r_0399,-8.26498032067196,0.7962246537208557
r_0400,-8.264971737603119,0.7961930632591248
r_0402,-8.264894489983504,0.7961940765380859
r_0410,-8.274667696840694,0.796211838722229
r_0412,-8.264948849419767,0.7961943745613098
r_0436,306.1437419004248,69.65594919950745
r_0437,,
r_0438,,
r_0439,,
r_0440,-2.6359829071072682,0.1503298222517168
r_0441,-13.909199355738583,5.1621051982151185
r_0442,-13.909167160222037,5.162095106522423
r_0443,-7.558048463145273,4.517593170867066
r_0445,-12.522283062414221,1.9573224782943726
r_0446,-10.42757511618034,1.5691636800765991
r_0447,-9.939334278046491,1.5691616535186768
r_0448,-25.887747713516497,3.789328098297119
r_0449,-10.301397556188908,0.8425838947296143
r_0450,22.097261410571978,0.5638442635536194
r_0451,-3.5386113688214245,0.1696067899465561
r_0452,-3.546837502616375,0.1696052849292755
r_0453,-54.38312944017488,1.695491909980774
r_0454,-66.77767234269372,5.242189078500563
r_0455,-53.10223510225295,5.242188912312024
r_0457,-6.603141939685001,40.73299026489258
r_0458,-8.3061394252906,0.5740079546105361
r_0459,-2.502290849822742,0.15032448510173474
r_0460,-30.477475314551803,2.1777815238067517
r_0461,-68.37778247343755,3.5819671154022217
r_0462,-68.37780536162114,3.581972122192383
r_0463,,
r_0464,,
r_0465,7.404909267221296,2.1045992374420166
r_0466,-9.724103793064703,0.9001278791010746
r_0467,0.2629039423641579,0.18243199586868286
r_0468,15.367299908229633,0.9609091281890869
r_0469,-22.08705681597906,2.1709424580332177
r_0470,34.25830132555677,0.3379735794549503
r_0471,-34.25826913004022,0.3379973460790215
r_0472,-46.003285422316594,1.0118553479492902
r_0473,-2.897869630612118,1.62997549879736
r_0475,-11.744983104938541,0.9397282600402832
r_0476,-14.26388760248599,0.8914634758506775
r_0477,-19.14989380267131,2.3243675231933594
r_0478,,
r_0479,,
r_0480,,
r_0481,-12.504527250825983,1.3581434156630312
r_0482,-14.153526946160005,1.3581460564181806
r_0483,-308.4643801698329,3.6382033824920654
r_0484,-306.81534561376407,3.638202428817749
r_0485,-27.206927845759957,2.396347160819492
r_0486,2.4520282936596307,0.6437034620423556
r_0487,-20.59633085248083,1.3074150636977515
r_0488,-15.147297308947927,0.41259156235376165
r_0489,-10.861577823525433,0.40674981474876404
r_0490,22.038346156668254,5.184170279795386
r_0491,-22.352760002118522,0.7575201958332144
r_0492,-22.243821102122826,0.7575214909661818
r_0497,-22.97248583512706,2.2038331003031546
r_0499,0.6839540444365213,3.9204062017006787
r_0500,-25.482761892087417,3.4604644775390625
r_0501,29.351819233323013,2.790591239929199
r_0502,-6.705378093963963,0.734713613986969
r_0503,-6.68555318344621,0.7347089648246765
r_0504,23.299019096024104,8.717506724556786
r_0505,4.35464366768638,0.24855517841678365
r_0506,11.196320406642826,8.717506408691406
r_0507,13.800869047048153,8.863969433112997
r_0508,4.354635425383995,0.24854878965281121
r_0509,1.6981581337742497,8.86396312713623
r_0510,,
r_0511,,
r_0512,,
r_0514,-31.14454384762272,9.260967258604927
r_0518,11.811830776639313,4.338700826571334
r_0519,,
r_0520,,
r_0521,,
r_0522,,
r_0523,,
r_0524,-51.19219651553852,7.707985126246598
r_0525,-44.16610450571095,4.492007009604967
r_0526,-17.879621742458593,9.53982977038292
r_0527,-18.931509220740885,0.6104094386100769
r_0528,-1.3722619778514265,0.1503053605556488
r_0529,-1.372273262821377,0.15030266344547272
r_0530,,
r_0531,-78.59087171601706,5.657629489898682
r_0532,,
r_0533,-15.250301765566947,0.4125729946168688
r_0534,-15.249941656488875,0.4125793447201761
r_0535,-15.249945928949813,0.41257713779003313
r_0536,-15.250759977050516,2.2853446344769686
r_0537,-10.501879327465675,0.6273153424263
r_0538,10.236751662835069,2.3029191493988037
r_0539,,
r_0540,,
r_0541,-18.625174747146495,31.436178963471736
r_0542,3.804912306128223,1.8357634544372559
r_0543,-29.908303772094058,1.5743588253009082
r_0544,-56.47636934011619,28.70572559421046
r_0545,24.38733944160593,2.2781715393066406
r_0546,-18.51462175042887,1.2352890620077477
r_0547,-18.514589554912323,1.2353070843672798
r_0548,-14.705899903411208,1.016763052165328
r_0549,-10.442732182314103,1.905665636062622
r_0550,-310.56495289705913,3.69498649087613
r_0551,-295.6690088524682,3.6949849567578807
r_0552,-310.6514627994257,3.6949829034069763
r_0553,-27.481228580503757,2.9270121429295703
r_0554,-43.26486794560961,2.9270112747569708
r_0555,-71.31987353566666,5.3703179359436035
r_0556,-14.522464235318813,1.333238941060639
r_0557,-135.61493088021035,37.44198226928711
r_0558,-7.524869641102081,2.4712043653091604
r_0560,-45.486273481751766,4.066651501168883
r_0561,-12.643806808527756,2.865121035283967
r_0562,-18.93399688143372,0.6104071140289307
r_0563,-49.9331154754703,12.076797167053376
r_0564,-48.9631637103155,4.540664196014404
r_0565,-7.137404524566879,1.9118022196968358
r_0566,-91.28042089173934,6.152844440423464
r_0567,-17.860949589728964,3.29775341429293
r_0568,-15.341596770268238,0.28583580378741613
r_0569,-29.598472133747872,0.28583580378741613
r_0570,-7.319129549933129,12.060501098632812
r_0571,-0.3268849058017147,1.7681322444849612
r_0572,-0.4026230637803976,1.768100478195083
r_0573,-0.32933032585837196,1.7680872002205579
r_0574,-2.518330820462193,1.7680983204057497
r_0575,-2.445038082540168,1.7680850428532684
r_0596,-25.027738800131626,2.168276786804199
r_0597,-25.02775024422345,2.1683125495910645
r_0598,-25.027766312902,2.168266534805298
r_0599,-25.02773198062661,2.1683013439178467
r_0600,-25.027785169953514,2.1683266162872314
r_0601,-25.0277794479076,2.168323278427124
r_0602,-25.027751117560424,2.168295383453369
r_0603,-25.02772632202817,2.1682987213134766
r_0604,-25.027733211052446,2.1682968139648438
r_0605,-25.027733211052475,2.16831374168396
r_0606,-25.027694139490492,2.1682846546173096
r_0607,-25.027694139490507,2.168306589126587
r_0608,-25.02770979842184,2.1682844161987305
r_0609,-25.027728871908167,2.1683216094970703
r_0610,-25.02774432392205,2.168311834335327
r_0611,-25.02773287983024,2.168302059173584
r_0612,-25.027677476193418,2.1683154106140137
r_0613,-25.027705950489633,2.1682991981506348
r_0614,-25.02769696721876,2.168304204940796
r_0615,-25.027672171686547,2.168300151824951
r_0616,-50.77656170296163,2.168292527948328
r_0617,-50.776595882649154,2.1682809926854563
r_0618,-50.77658760180505,2.168280337789715
r_0619,-50.77659614672695,2.1682979483942026
r_0620,-50.77663968077479,2.1683169019088004
r_0621,-50.77662014952485,2.1683471506656478
r_0622,-50.776572150343895,2.1683051927877144
r_0623,-50.7765513983908,2.1683032240922695
r_0624,-50.77658299989092,2.168273506353173
r_0625,-50.776574454969044,2.1683034279087003
